Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023
sustainable goals list,INR,500,-90%,-90%,Low,14,14.98,204.76,,,,,,,,,,,,,,,,,
sdgs sustainable development goals,INR,50000,-90%,0%,Low,10,15.81,166.47,,,,,,,,,,,,,,,,,
climate change and sustainable development,INR,500,0%,0%,Low,17,9.43,39.12,,,,,,,,,,,,,,,,,
aws sustainability,INR,50,0%,-90%,Low,2,,,,,,,,,,,,,,,,,,,
sdg index,INR,5000,900%,0%,Low,1,13.32,58.27,,,,,,,,,,,,,,,,,
circular economy sustainability,INR,500,-90%,-90%,Low,13,5.38,78.24,,,,,,,,,,,,,,,,,
csr reporting,INR,5000,0%,0%,Low,3,6.77,319.28,,,,,,,,,,,,,,,,,
sustainable packaging solutions,INR,500,0%,0%,Low,13,6.66,77.41,,,,,,,,,,,,,,,,,
nature sustainability,INR,500,0%,0%,Low,0,13.32,76.99,,,,,,,,,,,,,,,,,
green power solar,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
clean energy sources,INR,500,0%,0%,Low,17,15.44,38.29,,,,,,,,,,,,,,,,,
hydrogen renewable energy,INR,500,0%,0%,Low,28,18.21,82.40,,,,,,,,,,,,,,,,,
green electricity providers,INR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
geothermal installation cost,INR,50,0%,∞,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly building materials,INR,500,0%,0%,Low,14,5.83,23.31,,,,,,,,,,,,,,,,,
sustainable energy solutions,INR,500,0%,900%,Low,4,12.07,39.12,,,,,,,,,,,,,,,,,
7 practices of sustainable agriculture,INR,500,0%,0%,Low,6,10.82,103.21,,,,,,,,,,,,,,,,,
sustainability initiatives,INR,500,0%,0%,Low,2,10.82,24.94,,,,,,,,,,,,,,,,,
geothermal heat and air,INR,50,∞,∞,Low,0,,,,,,,,,,,,,,,,,,,
sustainable banking,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable engineering,INR,5000,900%,0%,Low,4,13.49,91.35,,,,,,,,,,,,,,,,,
alternative solar,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
home wind turbine system,INR,50,0%,∞,Low,28,2.97,142.33,,,,,,,,,,,,,,,,,
esg deloitte,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
solar electric panels,INR,500,0%,0%,Medium,47,5.03,24.14,,,,,,,,,,,,,,,,,
the global goals for sustainable development,INR,500,0%,900%,Low,11,22.47,180.62,,,,,,,,,,,,,,,,,
bio energy,INR,5000,0%,0%,Low,3,6.66,48.69,,,,,,,,,,,,,,,,,
environmentally friendly companies,INR,500,0%,0%,Low,5,10.33,860.96,,,,,,,,,,,,,,,,,
sustainable development goal 11,INR,5000,0%,900%,Low,2,21.32,169.80,,,,,,,,,,,,,,,,,
ecovillage,INR,5000,0%,0%,Low,2,7.61,39.92,,,,,,,,,,,,,,,,,
alternative electricity sources,INR,50,0%,0%,Low,18,13.67,39.12,,,,,,,,,,,,,,,,,
sustainable development goals ppt,INR,5000,0%,900%,Low,5,14.15,166.47,,,,,,,,,,,,,,,,,
eco houses,INR,500,0%,0%,Low,4,10.82,24.84,,,,,,,,,,,,,,,,,
carbon footprint reduction,INR,5000,0%,0%,Low,9,4.99,32.46,,,,,,,,,,,,,,,,,
solar rooftop price list,INR,5000,0%,0%,Low,26,1.62,15.01,,,,,,,,,,,,,,,,,
cdp sustainability,INR,50,0%,0%,Low,3,112.08,530.21,,,,,,,,,,,,,,,,,
national renewable energy laboratory,INR,5000,0%,0%,Low,1,19.14,84.90,,,,,,,,,,,,,,,,,
sustainable lifestyle,INR,5000,-90%,0%,Low,3,1.66,13.49,,,,,,,,,,,,,,,,,
un sdgs goals,INR,5000,0%,0%,Low,10,25.80,224.74,,,,,,,,,,,,,,,,,
ways to be sustainable in everyday life,INR,50,-90%,0%,Low,11,1.66,32.46,,,,,,,,,,,,,,,,,
sustainability in business examples,INR,500,0%,0%,Low,13,7.98,20.38,,,,,,,,,,,,,,,,,
more green energy,INR,50,0%,-90%,Low,21,38.18,218.25,,,,,,,,,,,,,,,,,
sustainable housing,INR,500,0%,0%,Low,5,11.65,91.56,,,,,,,,,,,,,,,,,
sustainable concrete,INR,500,0%,0%,Low,3,15.81,202.15,,,,,,,,,,,,,,,,,
un sustainability,INR,500,0%,0%,Low,7,12.49,238.89,,,,,,,,,,,,,,,,,
sustainability mdpi,INR,500,0%,0%,Low,0,41.64,93.21,,,,,,,,,,,,,,,,,
sustainability science,INR,500,0%,0%,Low,2,17.60,106.62,,,,,,,,,,,,,,,,,
basic science for sustainable development,INR,500,0%,-100%,Low,6,,,,,,,,,,,,,,,,,,,
reduce your carbon footprint,INR,500,0%,0%,Low,4,5.83,22.47,,,,,,,,,,,,,,,,,
corporate sustainability reporting,INR,500,0%,0%,Low,9,11.87,55.81,,,,,,,,,,,,,,,,,
sdg 11 sustainable cities and communities,INR,500,0%,0%,Low,5,20.29,166.47,,,,,,,,,,,,,,,,,
sustainable companies to invest in,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
all sdg goals,INR,500,-90%,0%,Low,7,41.62,193.94,,,,,,,,,,,,,,,,,
eco friendly insulation,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
energy green,INR,50,0%,0%,Low,12,,,,,,,,,,,,,,,,,,,
solar power station for home,INR,50,0%,0%,High,75,1.66,13.39,,,,,,,,,,,,,,,,,
sustainable future,INR,500,900%,900%,Low,3,12.37,45.49,,,,,,,,,,,,,,,,,
water sustainability,INR,500,0%,0%,Low,2,8.92,94.89,,,,,,,,,,,,,,,,,
bcg sustainability,INR,50,0%,0%,Low,12,9.99,14.98,,,,,,,,,,,,,,,,,
green initiatives,INR,500,900%,900%,Low,2,10.69,166.47,,,,,,,,,,,,,,,,,
green hydrogen energy,INR,500,0%,0%,Low,30,19.14,98.83,,,,,,,,,,,,,,,,,
sustainable product design,INR,500,0%,0%,Low,4,9.43,23.12,,,,,,,,,,,,,,,,,
rooftop wind turbine,INR,500,0%,0%,Low,22,1.02,19.98,,,,,,,,,,,,,,,,,
ways to be more sustainable,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable procurement policy,INR,500,0%,900%,Low,7,5.83,21.32,,,,,,,,,,,,,,,,,
circular economy and sustainability,INR,500,0%,0%,Low,5,4.46,118.20,,,,,,,,,,,,,,,,,
alternative power sources,INR,50,0%,0%,Low,6,12.41,54.94,,,,,,,,,,,,,,,,,
sustainable shopping,INR,50,0%,-90%,Low,20,11.26,69.09,,,,,,,,,,,,,,,,,
solar panel power,INR,500,0%,0%,Medium,47,6.45,19.14,,,,,,,,,,,,,,,,,
sustainable communities,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
esg statement,INR,50,0%,0%,Low,25,11.56,44.33,,,,,,,,,,,,,,,,,
alternative energy companies,INR,50,0%,0%,Low,14,,,,,,,,,,,,,,,,,,,
leed certified,INR,5000,0%,0%,Low,3,1.66,34.13,,,,,,,,,,,,,,,,,
solar renewable energy,INR,5000,0%,0%,Low,3,13.30,54.94,,,,,,,,,,,,,,,,,
esg energy,INR,50,0%,0%,Low,9,17.66,70.75,,,,,,,,,,,,,,,,,
power purchase,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
alternative energy solutions,INR,50,0%,0%,Low,11,13.41,39.12,,,,,,,,,,,,,,,,,
eco friendly tape,INR,50,0%,0%,High,88,1.80,36.62,,,,,,,,,,,,,,,,,
green energy investment,INR,500,0%,0%,Low,6,14.76,89.20,,,,,,,,,,,,,,,,,
usa clean energy,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable it,INR,500,0%,0%,Low,6,13.46,178.08,,,,,,,,,,,,,,,,,
renewable fuels,INR,500,0%,0%,Low,6,22.47,73.25,,,,,,,,,,,,,,,,,
residential wind power,INR,50,900%,900%,Medium,42,1.18,23.23,,,,,,,,,,,,,,,,,
sustainable development introduction,INR,5000,0%,0%,Low,11,13.22,31.63,,,,,,,,,,,,,,,,,
printed solar panels,INR,500,0%,0%,Low,11,7.95,31.21,,,,,,,,,,,,,,,,,
sustainable development goal 7,INR,5000,0%,0%,Low,3,14.98,166.47,,,,,,,,,,,,,,,,,
eco friendly shop,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable tourism examples,INR,500,0%,0%,Low,2,1.79,12.56,,,,,,,,,,,,,,,,,
environmental stewardship,INR,500,0%,0%,Low,1,4.16,8.08,,,,,,,,,,,,,,,,,
united nations sustainable development,INR,500,0%,0%,Low,10,14.38,167.30,,,,,,,,,,,,,,,,,
clean energy group,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
green business,INR,500,900%,900%,Low,1,8.93,22.47,,,,,,,,,,,,,,,,,
sdg onu,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
cdp esg,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
ey climate change and sustainability services,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
geothermal systems for homes,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable products examples,INR,500,0%,0%,Low,12,7.09,22.78,,,,,,,,,,,,,,,,,
sustainability projects for students,INR,500,0%,0%,Low,14,11.60,28.01,,,,,,,,,,,,,,,,,
sustainable transport,INR,5000,0%,900%,Low,1,13.32,146.31,,,,,,,,,,,,,,,,,
windmill power,INR,5000,0%,0%,Low,4,8.32,49.26,,,,,,,,,,,,,,,,,
climate action project,INR,500,0%,0%,Low,3,9.23,303.81,,,,,,,,,,,,,,,,,
biomass generator,INR,50,0%,0%,Low,3,7.22,59.93,,,,,,,,,,,,,,,,,
moody's esg solutions,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
eco friendly materials,INR,5000,0%,0%,Low,2,7.09,25.13,,,,,,,,,,,,,,,,,
domestic wind turbines,INR,500,0%,0%,Medium,36,1.31,17.74,,,,,,,,,,,,,,,,,
sustainable building design,INR,500,0%,0%,Low,8,7.08,24.97,,,,,,,,,,,,,,,,,
hydro panel,INR,50,0%,0%,Low,3,,,,,,,,,,,,,,,,,,,
green cities,INR,50000,0%,900%,Low,1,7.69,41.07,,,,,,,,,,,,,,,,,
rooftop solar cost,INR,500,0%,0%,Low,28,1.73,15.05,,,,,,,,,,,,,,,,,
wind power plant,INR,5000,0%,0%,Low,3,5.83,39.76,,,,,,,,,,,,,,,,,
geothermal home heating,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
sustainable innovation,INR,500,0%,0%,Low,5,10.74,45.17,,,,,,,,,,,,,,,,,
solar power generation,INR,5000,0%,0%,Low,14,7.13,40.39,,,,,,,,,,,,,,,,,
us sustainable development goals,INR,500,0%,0%,Medium,36,62.25,273.85,,,,,,,,,,,,,,,,,
sustainability and esg,INR,50,0%,900%,Low,2,,,,,,,,,,,,,,,,,,,
sustainable real estate,INR,500,0%,0%,Low,10,109.54,259.64,,,,,,,,,,,,,,,,,
renewable energy finance,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sustainable practices,INR,5000,0%,900%,Low,7,5.83,211.63,,,,,,,,,,,,,,,,,
un esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg goal 6,INR,500,-90%,0%,Low,3,14.98,166.47,,,,,,,,,,,,,,,,,
life on land sdg,INR,500,0%,0%,Low,3,66.59,166.47,,,,,,,,,,,,,,,,,
sdg 7 affordable and clean energy,INR,500,0%,0%,Low,9,15.01,58.27,,,,,,,,,,,,,,,,,
digital sustainability,INR,500,0%,0%,Low,6,25.80,435.33,,,,,,,,,,,,,,,,,
solar powered power station,INR,500,0%,0%,Low,12,1.06,31.22,,,,,,,,,,,,,,,,,
micro hydro power for off grid houses,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
sustainable development goals 2022,INR,500,0%,-90%,Low,4,,,,,,,,,,,,,,,,,,,
solar generation,INR,500,0%,900%,Low,4,5.83,26.64,,,,,,,,,,,,,,,,,
renewable sources,INR,5000,0%,0%,Low,7,15.24,36.62,,,,,,,,,,,,,,,,,
renewable energy world,INR,500,0%,0%,Low,7,16.18,47.44,,,,,,,,,,,,,,,,,
sustainable development goal 12,INR,5000,0%,0%,Low,2,14.15,166.47,,,,,,,,,,,,,,,,,
wind power generator for home,INR,5000,0%,0%,Medium,39,1.05,19.14,,,,,,,,,,,,,,,,,
17 goals to transform our world,INR,50,0%,0%,Low,4,50.77,250.54,,,,,,,,,,,,,,,,,
solar electric system for home,INR,5000,0%,0%,High,89,2.46,18.31,,,,,,,,,,,,,,,,,
mckinsey esg,INR,50,0%,0%,Low,6,24.91,95.65,,,,,,,,,,,,,,,,,
sustainability organizations,INR,500,0%,0%,Low,7,10.82,348.76,,,,,,,,,,,,,,,,,
sustainable practices examples,INR,500,0%,0%,Low,5,7.09,31.13,,,,,,,,,,,,,,,,,
understanding solar power,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
ensure environmental sustainability,INR,500,-90%,0%,Low,3,13.32,59.62,,,,,,,,,,,,,,,,,
sdg projects,INR,500,0%,0%,Low,10,14.15,96.55,,,,,,,,,,,,,,,,,
ways to be sustainable,INR,50,0%,0%,Low,5,,,,,,,,,,,,,,,,,,,
renewable solar,INR,50,0%,0%,Low,6,18.31,102.38,,,,,,,,,,,,,,,,,
affordable and clean energy sdg,INR,500,0%,0%,Low,9,14.89,58.27,,,,,,,,,,,,,,,,,
sustainable supply,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
environmental sustainability in business,INR,500,0%,0%,Low,15,14.15,236.39,,,,,,,,,,,,,,,,,
principles of sustainable development,INR,5000,0%,0%,Low,2,14.15,39.12,,,,,,,,,,,,,,,,,
esg impact investing,INR,50,0%,0%,Low,4,,,,,,,,,,,,,,,,,,,
sustainability in fashion industry,INR,500,0%,0%,Low,12,5.83,113.52,,,,,,,,,,,,,,,,,
millennium development goals 2030,INR,50,0%,0%,Low,7,140.67,252.21,,,,,,,,,,,,,,,,,
renewable energy providers,INR,50,0%,0%,Low,15,32.46,104.88,,,,,,,,,,,,,,,,,
non renewable energy,INR,5000,0%,0%,Low,1,14.30,54.94,,,,,,,,,,,,,,,,,
sdg 14 life below water,INR,500,-90%,0%,Low,1,49.94,179.79,,,,,,,,,,,,,,,,,
solar power electricity,INR,5000,0%,0%,Low,18,6.13,43.02,,,,,,,,,,,,,,,,,
green design,INR,5000,0%,0%,Low,0,14.96,78.24,,,,,,,,,,,,,,,,,
solar hybrid system,INR,500,0%,0%,Low,15,5.00,16.97,,,,,,,,,,,,,,,,,
renewable energy and climate change,INR,500,0%,0%,Low,15,9.99,39.12,,,,,,,,,,,,,,,,,
100 ways to reduce carbon footprint,INR,50,0%,0%,Low,26,10.26,29.97,,,,,,,,,,,,,,,,,
siemens sustainability,INR,50,0%,0%,Low,7,39.60,73.09,,,,,,,,,,,,,,,,,
sustainable infrastructure,INR,500,0%,0%,Low,11,79.19,370.49,,,,,,,,,,,,,,,,,
top renewable energy companies,INR,500,0%,0%,Low,18,18.92,63.26,,,,,,,,,,,,,,,,,
sustainable forestry initiative,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
windmill power for home,INR,500,0%,900%,Medium,41,1.66,17.48,,,,,,,,,,,,,,,,,
sustainable economic development,INR,5000,0%,0%,Low,3,13.32,39.12,,,,,,,,,,,,,,,,,
wind solar hybrid system,INR,500,900%,900%,Low,12,7.98,49.11,,,,,,,,,,,,,,,,,
renewable energy technologies,INR,500,0%,0%,Low,17,6.66,30.80,,,,,,,,,,,,,,,,,
hydro generator for home,INR,50,0%,0%,Low,31,0.94,30.22,,,,,,,,,,,,,,,,,
wind power generation,INR,5000,0%,0%,Low,11,5.83,51.35,,,,,,,,,,,,,,,,,
renewable electricity,INR,500,0%,0%,Low,4,11.43,39.12,,,,,,,,,,,,,,,,,
alternative to solar panels,INR,50,0%,0%,Low,9,5.70,25.80,,,,,,,,,,,,,,,,,
environment and sustainability,INR,50000,-90%,0%,Low,6,11.10,21.32,,,,,,,,,,,,,,,,,
sustainable tomorrow,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sdg goal 3,INR,5000,0%,0%,Low,1,25.80,166.47,,,,,,,,,,,,,,,,,
kpmg sustainability,INR,50,0%,0%,Low,14,7.94,39.90,,,,,,,,,,,,,,,,,
hydrogen green energy,INR,500,0%,0%,Low,28,18.21,82.40,,,,,,,,,,,,,,,,,
sustainable cities and communities examples,INR,500,0%,0%,Low,5,11.92,137.29,,,,,,,,,,,,,,,,,
international institute for sustainable development,INR,500,0%,0%,Low,5,54.10,168.14,,,,,,,,,,,,,,,,,
sdg 15 life on land,INR,500,-90%,0%,Low,3,88.23,166.47,,,,,,,,,,,,,,,,,
sustainability assessment,INR,50,900%,900%,Low,7,10.82,97.73,,,,,,,,,,,,,,,,,
wind power companies,INR,500,0%,0%,Low,19,15.81,66.59,,,,,,,,,,,,,,,,,
sdg health,INR,500,0%,0%,Low,3,42.00,221.41,,,,,,,,,,,,,,,,,
sustainable water management,INR,500,0%,0%,Low,7,12.49,25.01,,,,,,,,,,,,,,,,,
business and sustainability,INR,5000,0%,0%,Low,15,9.99,223.03,,,,,,,,,,,,,,,,,
sustainable development goal 14,INR,500,0%,0%,Low,2,16.77,166.47,,,,,,,,,,,,,,,,,
hydro turbine generator,INR,500,900%,900%,Low,26,0.83,21.53,,,,,,,,,,,,,,,,,
cheapest renewable energy for the home,INR,50,0%,0%,Medium,41,14.01,37.46,,,,,,,,,,,,,,,,,
sustainability statement,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
goal 11 sustainable cities and communities,INR,500,0%,900%,Low,4,17.48,176.55,,,,,,,,,,,,,,,,,
sustainable packaging examples,INR,500,0%,900%,Low,10,5.83,38.48,,,,,,,,,,,,,,,,,
affordable and clean energy sustainable development goals,INR,500,0%,0%,Low,16,14.98,39.12,,,,,,,,,,,,,,,,,
sustainable technologies,INR,500,0%,0%,Low,6,5.83,17.48,,,,,,,,,,,,,,,,,
best renewable energy companies,INR,500,0%,0%,Low,18,18.92,63.26,,,,,,,,,,,,,,,,,
sdg water,INR,500,0%,0%,Low,2,11.65,166.47,,,,,,,,,,,,,,,,,
building green,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
power on solar,INR,50000,0%,0%,Low,6,5.25,53.34,,,,,,,,,,,,,,,,,
partnership for the goals,INR,5000,0%,900%,Low,1,37.46,171.47,,,,,,,,,,,,,,,,,
biggest renewable energy companies,INR,50,900%,900%,Low,3,34.66,132.57,,,,,,,,,,,,,,,,,
residential geothermal,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
best renewable energy,INR,50,0%,0%,Low,14,14.75,39.12,,,,,,,,,,,,,,,,,
leed certified buildings,INR,500,0%,0%,Low,1,1.66,45.72,,,,,,,,,,,,,,,,,
sustainable business development,INR,500,0%,0%,Low,11,10.75,212.07,,,,,,,,,,,,,,,,,
sustainability issues,INR,500,0%,0%,Low,2,10.82,118.20,,,,,,,,,,,,,,,,,
green building design,INR,500,0%,0%,Low,5,8.02,97.38,,,,,,,,,,,,,,,,,
sustainable brand,INR,500,0%,0%,Low,9,12.49,715.50,,,,,,,,,,,,,,,,,
sustainable development goal 13,INR,5000,0%,900%,Low,1,14.19,150.66,,,,,,,,,,,,,,,,,
top sustainable companies,INR,50,0%,0%,Low,9,14.35,748.74,,,,,,,,,,,,,,,,,
sustainable development ppt,INR,5000,0%,0%,Low,4,12.35,17.26,,,,,,,,,,,,,,,,,
renewable energy suppliers,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
fashion industry environmental impact,INR,500,900%,0%,Low,3,6.66,37.50,,,,,,,,,,,,,,,,,
sdg 17 goals list,INR,500,0%,0%,Low,9,17.52,166.47,,,,,,,,,,,,,,,,,
advanced sustainable systems,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
sdg good health and well being,INR,500,0%,0%,Low,2,30.80,166.47,,,,,,,,,,,,,,,,,
solar electricity cost,INR,500,0%,0%,Low,10,1.81,38.29,,,,,,,,,,,,,,,,,
cdp climate change,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
types of renewable energy sources,INR,500,0%,0%,Low,6,16.70,39.12,,,,,,,,,,,,,,,,,
solar projects,INR,5000,0%,0%,Low,6,7.17,70.01,,,,,,,,,,,,,,,,,
sustainable urban planning,INR,500,0%,900%,Low,7,12.49,27.47,,,,,,,,,,,,,,,,,
seventeen sustainable development goals,INR,50000,0%,0%,Low,10,16.77,166.47,,,,,,,,,,,,,,,,,
sdg climate change,INR,500,0%,0%,Low,4,10.82,166.47,,,,,,,,,,,,,,,,,
sustainable fitch,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
offshore wind projects,INR,500,0%,900%,Low,10,26.64,166.47,,,,,,,,,,,,,,,,,
iso sustainability,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
new renewable energy sources,INR,500,900%,0%,Low,26,15.09,41.62,,,,,,,,,,,,,,,,,
sustainable agriculture examples,INR,500,0%,0%,Low,1,6.66,34.37,,,,,,,,,,,,,,,,,
concentrated solar power,INR,5000,0%,0%,Low,1,5.83,27.47,,,,,,,,,,,,,,,,,
sustainable shop,INR,50,0%,0%,Low,18,3.11,42.82,,,,,,,,,,,,,,,,,
eco building,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
photovoltaic power station,INR,500,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
nature power solar,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,
sustainable community development,INR,50,0%,0%,Low,5,12.55,39.12,,,,,,,,,,,,,,,,,
eco tips,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable lifestyle examples,INR,500,-90%,-90%,Low,6,1.66,15.99,,,,,,,,,,,,,,,,,
life below water sdg,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
fast fashion waste,INR,500,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
mdpi sustainability,INR,500,0%,0%,Low,0,41.64,93.21,,,,,,,,,,,,,,,,,
solar pv module,INR,5000,0%,0%,Low,4,4.31,14.77,,,,,,,,,,,,,,,,,
sustainable energy for all,INR,500,0%,0%,Low,2,10.19,35.52,,,,,,,,,,,,,,,,,
sustainable energy systems,INR,50,0%,0%,Low,30,75.52,332.11,,,,,,,,,,,,,,,,,
green tech renewables,INR,50,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
eco energy solutions,INR,50,900%,900%,Low,2,14.25,84.07,,,,,,,,,,,,,,,,,
10 ways to achieve sustainable development,INR,500,0%,0%,Low,26,11.65,35.66,,,,,,,,,,,,,,,,,
sustainable items,INR,50,0%,0%,Low,16,6.13,27.47,,,,,,,,,,,,,,,,,
ministry of new and renewable energy,INR,5000,0%,0%,Low,1,12.36,49.94,,,,,,,,,,,,,,,,,
water solar panels,INR,500,0%,0%,Low,20,1.19,15.81,,,,,,,,,,,,,,,,,
net zero sustainability,INR,50,0%,0%,Low,10,12.50,76.20,,,,,,,,,,,,,,,,,
green energy sources,INR,50000,0%,0%,Low,17,14.79,34.13,,,,,,,,,,,,,,,,,
csr sustainability,INR,500,0%,0%,Low,6,5.83,61.75,,,,,,,,,,,,,,,,,
economic sustainability examples,INR,500,0%,0%,Low,1,7.19,77.99,,,,,,,,,,,,,,,,,
schneider electric sustainability,INR,50,0%,0%,Low,4,29.13,44.12,,,,,,,,,,,,,,,,,
jll sustainability,INR,50,0%,0%,Low,9,50.77,198.33,,,,,,,,,,,,,,,,,
bp sustainability,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
eco friendly products list,INR,500,900%,900%,Low,7,6.29,23.02,,,,,,,,,,,,,,,,,
hsbc esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainable fuels,INR,500,0%,0%,Low,9,9.28,61.59,,,,,,,,,,,,,,,,,
circular economy waste management,INR,500,0%,0%,Low,12,4.44,51.61,,,,,,,,,,,,,,,,,
off grid solar power systems for homes,INR,500,0%,0%,High,75,3.80,24.13,,,,,,,,,,,,,,,,,
renew solar,INR,500,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
sustainability in schools,INR,50,0%,0%,Low,6,20.81,74.37,,,,,,,,,,,,,,,,,
renew power,INR,50000,0%,0%,Low,0,14.25,146.50,,,,,,,,,,,,,,,,,
gri framework,INR,500,0%,0%,Low,12,5.83,18.49,,,,,,,,,,,,,,,,,
framework esg,INR,50,0%,0%,Low,0,,,,,,,,,,,,,,,,,,,
different types of renewable energy,INR,500,0%,0%,Low,7,15.41,40.79,,,,,,,,,,,,,,,,,
solar power business,INR,50,0%,-90%,Low,29,4.57,74.08,,,,,,,,,,,,,,,,,
renewable energy consultants,INR,500,0%,0%,Low,23,15.97,42.19,,,,,,,,,,,,,,,,,
sustainable development index,INR,500,0%,-90%,Low,3,26.49,57.73,,,,,,,,,,,,,,,,,
agroecology and sustainable food systems,INR,500,0%,0%,Low,2,16.65,166.47,,,,,,,,,,,,,,,,,
eco design,INR,500,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
hsbc sustainability,INR,50,0%,0%,Low,3,10.26,41.21,,,,,,,,,,,,,,,,,
responsible tourism,INR,500,0%,-90%,Low,1,3.33,288.83,,,,,,,,,,,,,,,,,
sustainable brand index,INR,50,0%,0%,Low,10,,,,,,,,,,,,,,,,,,,
sustainable architecture examples,INR,500,0%,0%,Low,4,5.83,36.49,,,,,,,,,,,,,,,,,
bcg climate and sustainability,INR,50,0%,0%,Low,24,9.99,95.77,,,,,,,,,,,,,,,,,
life below water sustainable development goals,INR,500,0%,0%,Low,2,25.80,166.47,,,,,,,,,,,,,,,,,
bci cotton,INR,5000,0%,0%,Low,1,9.37,114.03,,,,,,,,,,,,,,,,,
clean energy investment,INR,50,0%,0%,Low,8,,,,,,,,,,,,,,,,,,,
sustainable insulation,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
100 renewable energy,INR,50,0%,0%,Low,5,17.75,39.12,,,,,,,,,,,,,,,,,
un 2030,INR,50,0%,0%,Low,2,,,,,,,,,,,,,,,,,,,
energy and sustainability,INR,5000,0%,0%,Low,13,11.21,34.91,,,,,,,,,,,,,,,,,
goal 7 affordable and clean energy,INR,500,0%,0%,Low,5,17.03,66.59,,,,,,,,,,,,,,,,,
sustainable development goal 9,INR,5000,-90%,-90%,Low,2,15.33,143.17,,,,,,,,,,,,,,,,,
sustainable materials architecture,INR,500,0%,0%,Low,17,5.83,25.80,,,,,,,,,,,,,,,,,
wind solar,INR,500,0%,0%,Low,4,1.09,45.78,,,,,,,,,,,,,,,,,
dell sustainability,INR,50,0%,0%,Low,1,,,,,,,,,,,,,,,,,,,
re energy,INR,50,0%,900%,Low,0,,,,,,,,,,,,,,,,,,,
solar panels not reducing bill,INR,50,-100%,-100%,Unknown,,,,,,,,,,,,,,,,,,,,
global sustainability,INR,500,0%,0%,Low,7,13.66,511.51,,,,,,,,,,,,,,,,,
solar power plant for home,INR,5000,0%,0%,High,71,5.01,18.78,,,,,,,,,,,,,,,,,
